name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,maintainence_duration
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,221
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,75
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,211
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,21
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,128
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,66
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,245
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,33
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,207
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,38
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,28
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,51
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,157
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,31
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,67
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,74
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,193
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,117
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,60
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,42
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,78
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,74
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,0
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,84
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,205
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,224
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,57
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,37
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,149
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,176
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,191
